section,annee,kilos,chf,prix_par_kg,section_courte,complet
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2026,36588722.0,247980570.0,6.777513847,Tous vins,False
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2025,155229783.0,1116582234.0,7.193092797,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2024,162761458.0,1124986288.0,6.911871532,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2023,168564132.0,1235251500.0,7.32808033,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2022,178323108.0,1294160735.0,7.257392211,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2021,190057672.0,1349700902.0,7.101533381,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2020,182895426.0,1164447438.0,6.36673898,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2019,178437426.0,1203677725.0,6.745657298,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2018,177668467.0,1188278922.0,6.688181319,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2017,186275246.0,1145874211.0,6.151510926,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2016,184961943.0,1053493687.0,5.695732159,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2015,187687554.0,1027133903.0,5.472573333,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2014,188100838.0,1117215913.0,5.939452077,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2013,184306691.0,1173321609.0,6.366136805,Tous vins,True
"2204 - Vins de raisins frais, y compris les vins enrichis en alcool; moûts de raisins",2012,189955206.0,1117482189.0,5.882872139,Tous vins,True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2026,5031787.0,32345627.0,6.42825839,Vin blanc (≤2L),False
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2025,21811436.0,140951289.0,6.462265437,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2024,21795598.0,142242852.0,6.526219285,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2023,22312819.0,147407665.0,6.606411543,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2022,22782715.0,150616653.0,6.611005449,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2021,24026491.0,150171601.0,6.250251067,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2020,22399090.0,134808006.0,6.018459053,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2019,21382607.0,135005890.0,6.313818048,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2018,20382076.0,130455505.0,6.400501352,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2017,20619010.0,125482275.0,6.085756542,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2016,19849877.0,116086664.0,5.848230898,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2015,19232744.0,105588872.0,5.490057581,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2014,18534027.0,112820045.0,6.087184669,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2013,18098797.0,112995611.0,6.243266389,Vin blanc (≤2L),True
"2204.2121 - Vins blancs naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites des contingents tarifaires n°s 23 à 25 (à l'excl. des vins mousseux)",2012,17300890.0,102492166.0,5.924097893,Vin blanc (≤2L),True
"2204.2141 - Vins rouges naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites du contingent tarifaire n°s 23 à 25 (à l'excl. des vins mousseux et des vins en fiasques ordinaires d'une contenance > 1 l)",2026,13750107.0,143326963.0,10.42369801,Vin rouge (≤2L),False
"2204.2141 - Vins rouges naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites du contingent tarifaire n°s 23 à 25 (à l'excl. des vins mousseux et des vins en fiasques ordinaires d'une contenance > 1 l)",2025,58987925.0,645327364.0,10.93999092,Vin rouge (≤2L),True
"2204.2141 - Vins rouges naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites du contingent tarifaire n°s 23 à 25 (à l'excl. des vins mousseux et des vins en fiasques ordinaires d'une contenance > 1 l)",2024,64537418.0,662278628.0,10.26193251,Vin rouge (≤2L),True
"2204.2141 - Vins rouges naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites du contingent tarifaire n°s 23 à 25 (à l'excl. des vins mousseux et des vins en fiasques ordinaires d'une contenance > 1 l)",2023,68308002.0,711526579.0,10.41644548,Vin rouge (≤2L),True
"2204.2141 - Vins rouges naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites du contingent tarifaire n°s 23 à 25 (à l'excl. des vins mousseux et des vins en fiasques ordinaires d'une contenance > 1 l)",2022,72711857.0,771745482.0,10.61375013,Vin rouge (≤2L),True
"2204.2141 - Vins rouges naturels, y c. les vins enrichis en alcool, et moûts de raisins dont la fermentation a été empêchée ou arrêtée par addition d'alcool, en récipients d'une contenance <= 2 l, importés dans les limites du contingent tarifaire n°s 23 à 25 (à l'excl. des vins mousseux et des vins en fiasques ordinaires d'une contenance > 1 l)",2021,82556734.0,833927135.0,10.10126121,Vin rouge (≤2L),True
