importateur,npa,commune,canton,litres_rouge,litres_blanc,litres_total,noga_code,noga_label,commentaire,groupe,pays
Coop Genossenschaft,4053,Basel,BS,20851699.0,9069720.0,29921419.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés (Grandes surfaces),,Coop,CH
Denner AG,8045,Zürich,ZH,19171726.0,6007763.0,25179489.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés (Grandes surfaces),,Migros,CH
Rutishauser-DiVino AG,3012,Bern,BE,3572823.0,2705390.0,6278213.0,11.02A,Vinification (Production de vin),,Coop,CH
Bataillard AG,6023,Rothenburg,LU,3843169.0,2097206.0,5940375.0,46.34A,Commerce de gros de boissons alcoolisées,,Bataillard,CH
ALDI SUISSE AG,9536,Schwarzenbach SG,SG,3152065.0,1524064.0,4676129.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés (Grandes surfaces),,Aldi,CH
Lidl Schweiz DL AG,8570,Weinfelden,TG,2851702.0,1596778.0,4448480.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés (Grandes surfaces),,Lidl,CH
Weinkellereien Aarau AG,5000,Aarau,AG,1111958.0,779504.0,1891462.0,46.34A,Commerce de gros de boissons alcoolisées,,Volare Group,CH
South Wines Sàrl,1350,Orbe,VD,1537808.0,282081.0,1819889.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Mövenpick Wein Schweiz AG,1184,Vinzel,VD,1397868.0,399856.0,1797724.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,Famille von Finck,CH
Zürcher Mächler & Cie SA,5000,Aarau,AG,827719.0,749917.0,1577636.0,46.34A,Commerce de gros de boissons alcoolisées,,Volare Group,CH
Rudolf Bindella Weinbau- Weinhandel AG,8037,Zürich,ZH,1217161.0,312023.0,1529184.0,47.25A,Commerce de détail de boissons (Vins et spiritueux),,Famille Bindella,CH
SA Vini Bée,6855,Stabio,TI,901520.0,389793.0,1291313.0,46.34A,Commerce de gros de boissons alcoolisées,,Pôle Agroalimentaire de Stabio,CH
Escher SA,1242,Satigny,GE,872518.0,387110.0,1259628.0,46.34A,Commerce de gros de boissons alcoolisées,,Escher,CH
Les Grands Chais Suisse SA,6003,Luzern,LU,771394.0,369508.0,1140902.0,46.34A,Commerce de gros de boissons alcoolisées,,"""Grands Chais de France"" (Famille Helfrich)",CH
OTTO'S AG,6210,Sursee,LU,971321.0,142243.0,1113564.0,47.11D,Commerce de détail de produits alimentaires en magasins non spécialisés (Grandes surfaces),,Otto's,CH
J. Lage Pereira - Import & Handel,8500,Frauenfeld,TG,738747.0,291156.0,1029903.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
Casa del Vino SA,8953,Dietikon,ZH,739971.0,267920.0,1007891.0,46.34A,Commerce de gros de boissons alcoolisées,L'homme fort à la tête du conseil de Casa del Vino est Philipp Dautzenberg. Il s'avère qu'il est également le CEO (Directeur général) de Transgourmet Schweiz AG.,Coop,CH
Covin AG,8184,Bachenbülach,ZH,704892.0,165050.0,869942.0,46.34A,Commerce de gros de boissons alcoolisées,,,CH
